VEHICLE TYPE  MODEL           YEAR  VIN NUMBER         CHASSIS(P)  CHASSIS(F)  CHASSIS(I)  CHASSIS(C)  ENGINE(P)  ENGINE(F)  ENGINE(I)  ENGINE(C)  TRANSM(P)  TRANSM(F)  TRANSM(I)  TRANSM(C)  BRAKES(P)  BRAKES(F)  BRAKES(I)  BRAKES(C)  TOTAL PASSED  TOTAL FAILED  TOTAL PROCES  TOTAL COMPLE  BUILD STATUS  WASTE
SUV           Venza           2023  2NMKKA7V2N1123003  2           0           0           1           4          1          1          3          6          3          5          3          8          0          3          2          20            4             9             9             In-process    Yes
Car           Camry           2023  8TAUUB7K2NN128296  1           1           1           0           5          0          3          1          5          0          3          1          4          0          1          0          15            1             8             2             In-process    Yes
SUV           Venza           2023  VNYEED7V7NE104875  2           0           0           1           6          0          1          2          9          0          4          4          7          0          3          3          24            0             8            10             In-process     No
Car           Corolla         2023  STBUUE2E8N6115684  2           0           0           1           5          0          2          2          6          0          2          1          3          0          2          0          16            0             6             4             In-process     No
Car           Prius           2023  STBAAE3U1NA123033  2           0           0           1           5          0          3          1          5          0          0          4          2          1          2          0          14            1             5             6             Completed     Yes
Van           Sienna          2023  9NYYYCDC2NZ117882  1           1           1           0           7          0          2          4          7          0          4          2          5          0          3          1          20            1            10             7             Completed     Yes
Truck         Tacoma Access   2023  6TTEED8N4NN124331  2           1           1           1           9          0          1          7         10          1          7          3          9          0          3          5          30            2            12            16             Completed     Yes
Car           Camry           2023  9NCGGA8K8N1109891  2           0           1           0           5          1          1          2          5          0          2          2          3          0          0          2          15            1             4             6             In-process    Yes
Truck         Tacoma Double   2023  8TZHHB2N9NN112612  3           0           0           2           7          2          3          5         11          0          6          4          8          1          4          4          29            3            13            15             Completed     Yes
Car           Supra           2023  VTAUUEFA3NK110893  2           0           1           0           5          0          1          3          4          1          2          2          3          0          1          1          14            1             5             6             Completed     Yes
Truck         Tacoma Access   2023  2TPUUA6N7N7101275  3           0           1           1           8          1          3          5         10          1          7          3          9          0          3          5          30            2            14            14             Completed     Yes
Car           Corolla         2023  5NAFFE1E4NA127958  2           0           1           0           5          0          1          3          5          0          2          2          2          1          2          0          14            1             6             5             Completed     Yes
SUV           Venza           2023  MTMBBA0V3NC132587  2           0           1           0           5          0          0          4          8          2          3          4          7          0          2          4          22            2             6            12             In-process    Yes
Truck         Tacoma Access   2023   JNTTC6N4N0131598  5           0           0           0           9          0          3          5         11          0          4          6          9          0          5          3          34            0            12            14             In-process     No
Car           Supra           2023  KNBTTE0A2N4119167  2           0           0           1           5          0          2          2          5          0          3          1          3          0          2          0          15            0             7             4             Completed      No
Truck         Tundra Crewmax  2023  2NKEECF12NK104017  3           0           1           1           8          1          6          2          9          2          4          6          8          1          4          4          28            4            15            13             Completed     Yes
Truck         Tacoma Double   2023  5NHEEDDN6NU116026  3           0           1           1           9          0          7          1         10          1          8          2          8          2          4          3          30            3            20             7             In-process    Yes
Car           Supra           2023  1NAEED6A8NZ100331  2           0           0           1           5          0          3          1          5          1          0          3          4          1          0          0          16            2             3             5             In-process    Yes
Car           Supra           2023  1TBFFBDA5NK113436  2           0           0           1           5          0          1          3          4          1          2          2          2          1          1          1          13            2             4             7             Completed     Yes
Truck         Tacoma Access   2023  2NHDDA6N8NX113275  3           2           0           0           8          1          1          7         10          1          6          4          9          0          3          5          30            4            10            16             In-process    Yes
Truck         Tacoma Double   2023  KNBDDC7N1NK112147  2           1           1           1          12          1          3          1         10          1          6          4          8          1          4          4          32            4            14            10             In-process    Yes
Truck         Tacoma Double   2023  6NPBBA8N9NE122292  3           0           2           0           7          2          4          4         13          1          0          7          9          0          3          5          32            3             9            16             In-process    Yes
Truck         Tundra Crewmax  2023 JTDEDDA611NU115997  3           0           1           1          14          0          1          2         11          0          6          4          9          0          4          4          37            0            12            11             In-process     No
Van           Sienna          2023  VTMPPA8C9N9113582  2           0           1           0           8          1          2          2          6          1          2          4          5          1          1          2          21            3             6             8             In-process    Yes
SUV           Highlander      2023  3NMRRC3A1N9111306  2           0           0           1           5          0          2          2          9          0          4          4          6          1          2          4          22            1             8            11             Completed     Yes
Car           Corolla         2023  6TCSSB1E6N1119446  2           0           1           0           3          2          3          1          4          1          2          2          3          0          1          1          12            3             7             4             Completed     Yes
Car           Supra           2023  VNBFFCFA2NA122610  2           0           0           1           3          2          2          2          4          1          3          1          3          0          2          0          12            3             7             4             Completed     Yes
SUV           4Runner         2023  8TYLLA6R8N5120620  2           0           1           0           5          0          1          3          8          2          4          3          8          2          2          1          23            4             8             7             In-process    Yes
SUV           Sequoia         2023  9NYFFD2A1NU132120  2           0           0           1           4          1          2          2         11          1          3          2          7          0          3          3          24            2             8             8             In-process    Yes
Truck         Tacoma Access   2023  KNZBBB0N5N9128117  3           0           2           0           7          2          5          3         10          1          2          8          8          1          5          3          28            4            14            14             Completed     Yes
SUV           4Runner         2023  JTYPPD1R2NR121825  2           0           1           0           3          3          2          1          8          1          5          3          7          0          2          4          20            4            10             8             In-process    Yes
Truck         Tundra Crewmax  2023  VNHSSE618NZ116394  3           0           1           1           9          0          4          4         10          1          4          6         11          1          2          3          33            2            11            14             In-process    Yes
Van           Sienna          2023  6NYNNE3C4NA106411  2           0           0           1           6          1          4          2          6          1          2          4          5          0          2          2          19            2             8             9             Completed     Yes
Car           Prius           2023  SNAPPADU5NU115972  2           0           0           1           5          0          1          3          5          0          1          3          3          0          0          2          15            0             2             9             Completed      No
Car           Corolla         2023  8NAYYA0E4N5103337  2           0           1           0           5          0          2          2          4          1          3          1          3          0          2          0          14            1             8             3             Completed     Yes
Car           Prius           2023  JNAVVB1U2NZ111567  2           0           0           1           5          0          2          2          5          0          4          0          2          1          1          1          14            1             7             4             Completed     Yes
Car           Supra           2023  KTABBB6A4NU107623  2           0           0           1           5          0          3          1          6          0          3          0          3          0          1          1          16            0             7             3             In-process     No
SUV           4Runner         2023  5NMSSAFR3NS121659  1           1           1           0           5          0          1          3          9          0          2          6          7          0          3          3          22            1             7            12             Completed     Yes
Truck         Tundra Crewmax  2023  JTNVVB013N3124866  3           0           2           0           8          1          5          3         10          1          4          6          6          5          4          2          27            7            15            11             In-process    Yes
SUV           Venza           2023  MTYNNCFV2NM129377  1           1           0           1           5          0          3          1         10          0          6          1          7          0          4          2          23            1            13             5             In-process    Yes
Truck         Tacoma Access   2023  3THEEE1N4NR101718  4           0           1           0           9          0          6          2         10          1          5          5          7          2          5          3          30            3            17            10             In-process    Yes
SUV           Highlander      2023  KNMTTDFA3N4102145  2           0           1           0           4          1          1          3          8          1          5          3          7          0          2          4          21            2             9            10             Completed     Yes
Truck         Tacoma Double   2023  STBPPD3N5N9121405  3           0           1           1           8          1          4          4         12          3          4          2          9          0          5          3          32            4            14            10             In-process    Yes
Car           Corolla         2023  6TARRD2E7NU121150  3           0           0           0           4          1          2          2          3          2          3          1          3          0          1          1          13            3             6             4             In-process    Yes
Car           Prius           2023  JTAHHE3U9N0111596  2           0           1           0           5          0          3          1          5          1          2          1          4          0          0          1          16            1             6             3             In-process    Yes
SUV           4Runner         2023  STMKKA7R7NK104559  2           0           0           1           5          0          2          2          8          1          4          4          7          0          2          4          22            1             8            11             Completed     Yes
Van           Sienna          2023  8NYNNE2C1N2118130  2           0           0           1           6          2          3          2          6          1          3          3          5          0          4          0          19            3            10             6             In-process    Yes
SUV           Sequoia         2023  5NYEEA8A7N7131736  2           0           0           1           5          0          2          2          8          1          5          3          6          1          3          3          21            2            10             9             Completed     Yes
Truck         Tundra Double   2023  3NWRRE616NA100208  3           0           1           1           8          2          3          4         11          0          4          6          9          0          4          4          31            2            12            15             In-process    Yes
Car           Prius           2023  8TCVVE6U1NX103638  2           0           1           0           7          0          1          1          5          0          2          2          4          0          1          0          18            0             5             3             In-process     No
Van           Sienna          2023  KTYPPADC7NE108714  2           0           1           0           6          1          2          4          5          2          3          3          3          2          2          2          16            5             8             9             Completed     Yes
SUV           Venza           2023  6NMNNA7V7N3107058  2           0           1           0           5          0          3          1         10          0          6          1          7          0          4          2          24            0            14             4             In-process     No
Truck         Tacoma Double   2023  1NLNNBFN5NE110052  3           0           0           2           9          2          4          2         11          0          5          5          9          0          5          3          32            2            14            12             In-process    Yes
Car           Supra           2023  SNADDE8A2NU113597  2           0           0           1           5          0          1          3          4          1          2          2          3          0          1          1          14            1             4             7             Completed     Yes
Van           Sienna          2023  MNYHHE6C9N4116549  2           0           1           0           7          2          0          4          7          0          1          5          6          1          1          1          22            3             3            10             In-process    Yes
Car           Supra           2023  6NCTTA0A9N5109266  2           0           1           0           6          0          1          2          6          0          2          1          3          0          0          2          17            0             4             5             In-process     No
Truck         Tacoma Access   2023  STKDDE7N3N8100762  4           0           1           0          10          1          1          5         10          2          8          1          9          0          2          6          33            3            12            12             In-process    Yes
Van           Sienna          2023  SNMAAEDC2NX106721  2           0           0           1           8          0          3          2          7          0          3          3          5          1          2          1          22            1             8             7             In-process    Yes
Car           Prius           2023  3NCDDBDU9NU100952  1           1           1           0           4          1          2          2          5          0          1          3          3          0          1          1          13            2             5             6             Completed     Yes
Car           Camry           2023  5NAPPA8K3NA119745  2           1           0           0           7          0          0          2          3          2          4          0          3          0          2          0          15            3             6             2             In-process    Yes
Car           Camry           2023  2TCEEC8K4NU119110  1           1           1           0           6          2          1          0          5          0          2          2          3          0          0          2          15            3             4             4             In-process    Yes
Truck         Tacoma Double   2023  2NZYYC2N3N5131908  3           0           1           1           8          1          5          3         12          1          1          7          9          0          6          2          32            2            13            13             In-process    Yes
Truck         Tacoma Double   2023  5TZAAA1N9N4110495  4           0           1           0           9          0          3          5         11          2          2          6         11          3          1          2          35            5             7            13             In-process    Yes
SUV           Venza           2023  2NYVVE7V5NK102498  2           0           0           1           5          0          2          2          9          0          4          4          7          1          3          2          23            1             9             9             In-process    Yes
SUV           Venza           2023  9TYTTC2V9NC109292  2           0           1           0           5          0          2          2          8          1          5          3          7          0          3          3          22            1            11             8             Completed     Yes
Truck         Tacoma Double   2023  2TWGGD0N8NS105388  3           0           1           1           9          0          5          3         11          0          6          4          9          1          2          5          32            1            14            13             In-process    Yes
SUV           Sequoia         2023  VTMPPB7A3NN102265  2           0           0           1           5          0          1          3          8          2          3          4          7          0          4          2          22            2             8            10             In-process    Yes
Truck         Tundra Crewmax  2023  SNSUUD818NN113464  3           0           1           1           9          0          5          3          9          2          5          5          9          0          3          5          30            2            14            14             Completed     Yes
SUV           4Runner         2023  SNYYYB8R2N7111456  2           0           0           1           3          2          3          1          6          3          6          2          7          0          1          5          18            5            10             9             Completed     Yes
Van           Sienna          2023  8NYAAD3C2N7115738  2           0           1           0           8          1          3          1          6          1          5          1          5          0          1          3          21            2            10             5             In-process    Yes
Van           Sienna          2023  1TYFFB0C5N4123116  2           1           0           0           6          1          3          3          7          0          1          5          3          2          4          0          18            4             8             8             In-process    Yes
SUV           4Runner         2023  1TYGGC6R1N9103340  2           0           1           0           6          1          0          2          9          0          6          2          7          1          2          3          24            2             9             7             In-process    Yes
Van           Sienna          2023  9NYJJE1C7NU105808  2           0           0           1           6          1          2          4          7          0          1          5          4          1          1          3          19            2             4            13             Completed     Yes
Van           Sienna          2023  4TYVVBDC9N9121039  3           0           0           0           7          1          1          4          7          0          4          2          5          0          1          3          22            1             6             9             In-process    Yes
SUV           Sequoia         2023  4TYSSE6A2NN117641  1           1           1           0           4          1          1          3          8          1          4          4          6          1          2          4          19            4             8            11             Completed     Yes
Van           Sienna          2023  6TMRRDDC3N5111829  2           0           0           1           7          0          2          4          9          0          2          2          5          0          3          1          23            0             7             8             In-process     No
Truck         Tacoma Double   2023  2NKYYD7N8NX106179  3           0           1           1           8          1          3          5         11          0          4          6          7          2          5          3          29            3            13            15             Completed     Yes
Truck         Tundra Double   2023 3TDEMMA611NW107487  2           1           2           0           9          0          6          2          8          3          1          9          8          1          5          3          27            5            14            14             Completed     Yes
Truck         Tacoma Access   2023  6NZAAE2N7NC131138  2           1           2           0           9          0          4          4          9          2          5          5          9          0          3          5          29            3            14            14             Completed     Yes
Car           Camry           2023  KTBYYC6K4NC123131  2           0           1           0           6          0          3          0          4          1          3          1          2          1          2          0          14            2             9             1             In-process    Yes
SUV           Sequoia         2023  8NMUUB7A6NR114290  2           0           1           0           5          0          3          1          7          3          3          4          7          0          5          1          21            3            12             6             In-process    Yes
Car           Camry           2023  9TADDD8K1N8129981  2           0           0           1           6          0          0          3          4          1          3          1          3          0          0          2          15            1             3             7             In-process    Yes
SUV           Venza           2023  8TMSSD3V6N8103131  2           0           0           1           6          0          2          1          9          0          6          2          6          1          3          3          23            1            11             7             In-process    Yes
Van           Sienna          2023  3NMTTDDC1N6113579  2           0           0           1           6          1          5          1          9          1          0          3          5          0          3          1          22            2             8             6             In-process    Yes
Truck         Tundra Double   2023  8TBHHDF15N8109925  3           0           1           1           9          0          5          3         12          1          6          2          9          0          4          4          33            1            16            10             In-process    Yes
Van           Sienna          2023  9TYUUC0C3N2104498  2           0           0           1           8          0          3          2          7          0          4          2          5          0          1          3          22            0             8             8             In-process     No
Car           Camry           2023  3TCYYB7K4N4115709  2           0           0           1           5          0          2          2          4          1          2          2          2          1          0          2          13            2             4             7             Completed     Yes
Car           Prius           2023  3NCUUCDU3NN123102  2           0           0           1           4          1          3          1          6          0          0          3          3          0          1          1          15            1             4             6             In-process    Yes
Truck         Tacoma Double   2023  3NTNNC3N1N8126920  3           0           1           1           7          2          3          5         10          2          3          6          8          1          3          5          28            5            10            17             In-process    Yes
Car           Corolla         2023  3NCFFC0E9NN122277  2           0           0           1           7          0          0          2          5          0          2          2          3          0          1          1          17            0             3             6             In-process     No
SUV           4Runner         2023  6NYAAC6R1NM130050  2           0           0           1           6          0          1          2          8          1          5          3          8          1          3          1          24            2             9             7             In-process    Yes
Car           Prius           2023  KNBVVC3U4NE108047  2           0           0           1           5          0          3          1          4          1          4          0          3          0          2          0          14            1             9             2             Completed     Yes
Truck         Tacoma Double   2023  KNZFFC1N9NN129606  3           0           2           0           8          3          3          3         10          1          5          5          8          1          3          5          29            5            13            13             In-process    Yes
Van           Sienna          2023  MTYGGC7C8NN117642  2           0           0           1           5          2          4          2          6          1          3          3          4          2          1          2          17            5             8             8             In-process    Yes
Car           Prius           2023  MNANNB0U2N6121765  2           0           1           0           5          0          3          1          5          0          0          4          2          1          1          1          14            1             5             6             Completed     Yes
Truck         Tacoma Double   2023  9TKPPA2N7NC108349  3           0           0           2           7          2          3          5         10          1          6          4          8          1          7          1          28            4            16            12             Completed     Yes
Truck         Tundra Crewmax  2023  5NLGGC319N1111087  3           0           0           2           8          1          6          2         11          0          6          4          8          1          3          5          30            2            15            13             Completed     Yes
Van           Sienna          2023  KNYGGD8C5N5120976  1           1           0           1           8          1          3          1          6          1          3          3          6          0          0          3          21            3             6             8             In-process    Yes
Truck         Tacoma Access   2023  2NGNNB1N5NU125550  3           0           0           2          11          2          0          4         12          0          2          7          9          0          3          5          35            2             5            18             In-process    Yes
Car           Prius           2023  8TAEEE2U1NS132140  2           0           1           0           5          0          2          2          5          0          1          3          3          0          1          1          15            0             5             6             Completed      No
Truck         Tacoma Access   2023  JTZVVC7N8NW110098  3           0           1           1          10          2          5          0         12          0          5          4          9          0          5          3          34            2            16             8             In-process    Yes
Truck         Tacoma Access   2023  MTZSSB2N2NW123487  3           0           1           1           9          0          6          2         11          0          7          3          8          1          4          4          31            1            18            10             Completed     Yes
Truck         Tacoma Double   2023 6NDETTC8N7N3113773  5           0           0           0           9          0          3          5          8          3          5          5          9          1          4          3          31            4            12            13             In-process    Yes
Van           Sienna          2023  KNYFFC2C1NR113991  2           0           0           1           7          0          1          5          7          2          1          3          3          2          1          3          19            4             3            12             In-process    Yes
Van           Sienna          2023  MTMHHDDC6NU103961  2           0           0           1           7          3          1          2          7          0          2          4          3          2          1          3          19            5             4            10             In-process    Yes
SUV           Sequoia         2023  2NMKKD7A3NX122492  2           0           1           0           6          0          2          1          8          1          1          7          8          0          4          1          24            1             8             9             In-process    Yes
SUV           Highlander      2023  5NYPPB2A7N6110242  2           0           1           0           4          2          2          1          7          2          2          6          7          1          2          3          20            5             7            10             In-process    Yes
Truck         Tacoma Double   2023  1NGPPD3N7NE115073  3           0           1           1          10          1          6          0         14          1          4          2          8          1          2          6          35            3            13             9             In-process    Yes
SUV           Sequoia         2023  1NMEEA3A5N4117607  3           0           0           0           5          0          2          2          8          1          4          4          9          0          1          3          25            1             7             9             In-process    Yes
Car           Corolla         2023  3NALLD8E5N8111556  2           0           0           1           4          1          3          1          7          1          1          0          3          0          1          1          16            2             5             3             In-process    Yes
Truck         Tacoma Double   2023  1TTJJB8N1NE118971  3           0           1           1          11          0          3          3         11          0          4          6          8          2          3          4          33            2            11            14             In-process    Yes
Car           Corolla         2023  6TARRD8E3N6112184  2           0           1           0           5          0          1          3          5          0          2          2          3          0          2          0          15            0             6             5             Completed      No
Van           Sienna          2023  3TMPPC3C6N8127221  2           0           1           0           6          1          3          3          9          2          0          2          3          2          2          2          20            5             6             7             In-process    Yes
Van           Sienna          2023  9NYTTB3C8NK126851  2           0           1           0           7          0          5          1          8          2          1          2          4          1          2          2          21            3             9             5             In-process    Yes
Car           Corolla         2023  3TCLLD1E2N7109518  2           0           0           1           5          0          2          2          5          0          4          0          3          0          2          0          15            0             8             3             Completed      No
Car           Supra           2023  STANNA3A6NC120332  2           0           0           1           5          0          3          1          5          0          1          3          3          1          1          0          15            1             5             5             In-process    Yes
Car           Prius           2023  VTAVVEDU3NZ119301  2           0           1           0           4          2          3          0          5          0          2          2          3          0          1          1          14            2             7             3             In-process    Yes
SUV           Highlander      2023  9TYGGE7A4N8109030  2           0           0           1           5          0          2          2          8          1          4          4          7          0          2          4          22            1             8            11             Completed     Yes
Van           Sienna          2023  JTYKKE2C3NZ126929  1           1           1           0           6          1          0          6          7          0          4          2          5          1          3          0          19            3             8             8             In-process    Yes
SUV           Sequoia         2023  4TYYYB7A7N9130236  1           1           0           1           3          2          2          2          9          0          3          5          7          0          5          1          20            3            10             9             Completed     Yes
SUV           4Runner         2023  1TMUUD2R7N8132448  1           1           0           1           5          1          2          1          7          2          5          3          8          0          4          1          21            4            11             6             In-process    Yes
Car           Corolla         2023  MNBHHC6E6NA115146  3           0           0           0           5          1          2          1          5          1          1          2          2          1          1          1          15            3             4             4             In-process    Yes
SUV           Highlander      2023  5NMJJADA6NC104950  2           0           0           1           6          0          2          1          8          1          4          4          6          1          3          3          22            2             9             9             In-process    Yes
Car           Corolla         2023  8TCBBD3E5NN107046  2           0           0           1           5          0          1          3          5          0          1          3          3          0          1          1          15            0             3             8             Completed      No
Truck         Tundra Crewmax  2023  VTSMMB219NN106272  3           0           0           2           8          1          6          2         11          3          5          2          8          1          3          5          30            5            14            11             In-process    Yes
SUV           4Runner         2023  8NYSSB1R9NU101220  2           0           1           0           5          0          1          3          9          0          4          4          7          0          3          3          23            0             9            10             Completed      No
Van           Sienna          2023  9TYPPE6C5NW128571  2           0           1           0           7          0          1          5          7          0          5          1          4          1          3          1          20            1            10             7             Completed     Yes
Van           Sienna          2023  VNMLLADC2N9120447  2           0           0           1           9          0          2          2          8          0          2          3          4          1          2          2          23            1             6             8             In-process    Yes
Van           Sienna          2023  2TYDDE2C4N6124323  2           0           1           0           7          0          4          2          7          0          0          6          5          0          0          4          21            0             5            12             Completed      No
Truck         Tundra Double   2023  KTLPPC619NC116426  3           0           1           1           7          3          5          2         10          1          3          7          8          1          5          3          28            5            14            13             In-process    Yes
SUV           Highlander      2023  3TYEEC3A7N1100866  2           0           0           1           5          0          1          3          9          0          1          7          6          1          1          5          22            1             3            16             Completed     Yes
Truck         Tacoma Access   2023  KTGPPAFN6N9100057  3           0           0           2           8          1          6          2          9          2          5          5          9          0          4          4          29            3            15            13             Completed     Yes
Van           Sienna          2023  9TYUUE3C3NX110668  2           0           1           0           7          0          4          2          6          1          3          3          5          0          3          1          20            1            11             6             Completed     Yes
Van           Sienna          2023  KNMFFE2C3N3120769  2           0           1           0           7          0          4          2          7          0          1          5          5          0          0          4          21            0             6            11             Completed      No
Van           Sienna          2023  JNMKKB6C8NS106123  2           0           0           1           7          0          4          2          6          1          3          3          6          0          1          2          21            1             8             8             In-process    Yes
Van           Sienna          2023  5TYSSB3C6N6110370  2           0           1           0           5          2          4          2          9          0          4          0          5          0          2          2          21            2            11             4             In-process    Yes
SUV           Highlander      2023  2NMFFD1A5N9108485  2           0           1           0           6          1          0          2         12          1          2          2          6          1          3          3          26            3             6             7             In-process    Yes
Car           Corolla         2023  MTAFFEDE8NS102707  2           0           0           1           4          2          1          2          4          1          4          0          3          0          2          0          13            3             7             3             In-process    Yes
Van           Sienna          2023  SNYEEA0C2NS111336  2           0           0           1           7          0          5          1          7          0          1          5          5          0          2          2          21            0             8             9             Completed      No
Truck         Tacoma Double   2023  MTWBBE7N8N3130293  3           0           1           1           9          0          3          5         11          0          5          5          9          0          4          4          32            0            13            15             Completed      No
Truck         Tacoma Double   2023  MNTGGE0N4NE130663  3           0           1           1           8          1          3          5          9          2          4          6          9          0          5          3          29            3            13            15             Completed     Yes
SUV           Highlander      2023  5NMNNC6A5NA117060  1           1           0           1           3          2          3          1          8          1          5          3          7          1          2          3          19            5            10             8             In-process    Yes
Van           Sienna          2023  KTYJJE3C2NZ102975  2           0           0           1           5          2          2          4          8          1          1          3          5          1          0          3          20            4             3            11             In-process    Yes
SUV           4Runner         2023  3NYTTD0R4NA102920  2           0           0           1           5          0          2          2          9          2          3          3          7          0          4          2          23            2             9             8             In-process    Yes
Car           Supra           2023  9NBLLAFA2N6100755  2           0           0           1           7          0          1          1          5          0          2          2          5          0          0          0          19            0             3             4             In-process     No
Truck         Tacoma Access   2023  3THHHEDN2N8124726  3           0           1           1           9          1          3          4          9          2          8          2          8          1          5          3          29            4            17            10             In-process    Yes
Truck         Tundra Double   2023  6TGYYEF19NK123362  3           0           0           2           8          1          5          3         12          1          6          2          9          0          4          4          32            2            15            11             In-process    Yes
SUV           Sequoia         2023  5NYGGB7A3N2101990  2           0           1           0           5          0          3          1          8          1          4          4          6          1          4          2          21            2            12             7             Completed     Yes
Van           Sienna          2023  3NYAAC2C6N2105135  2           0           1           0           6          1          2          4          6          1          6          0          5          0          3          1          19            2            12             5             Completed     Yes
SUV           Highlander      2023  8TMYYE1A1NN126431  2           1           0           0           6          0          1          2          8          1          6          2          7          0          3          3          23            2            10             7             In-process    Yes
Van           Sienna          2023  MNYHHD6C8NW130306  2           0           0           1           6          2          4          1          6          1          2          4          4          1          3          1          18            4             9             7             In-process    Yes
Truck         Tacoma Access   2023  9TKKKCFN9NC129801  3           0           1           1          10          0          6          1         11          2          5          3          9          0          2          6          33            2            14            11             In-process    Yes
Truck         Tacoma Double   2023  2NZFFA7N8NA105467  3           0           2           0           9          0          5          3         12          1          6          2          8          1          7          1          32            2            20             6             In-process    Yes
Van           Sienna          2023  8NMLLDDC2NK111121  2           0           0           1           7          0          3          3          7          0          4          2          5          0          2          2          21            0             9             8             Completed      No
Car           Supra           2023  4TCMMCDA7N6129621  2           0           0           1           5          0          2          2          4          1          4          0          3          0          0          2          14            1             6             5             Completed     Yes
Car           Supra           2023  8NBTTE7A2NC105252  1           1           0           1           5          1          1          2          5          0          1          3          4          0          1          0          15            2             3             6             In-process    Yes
SUV           Highlander      2023  MNMBBA0A5NS129606  3           0           0           0           5          0          1          3          8          1          6          2          8          0          2          3          24            1             9             8             In-process    Yes
SUV           Sequoia         2023  2TYRRC2A8NW107390  3           0           0           0           5          1          3          0          9          0          4          4          5          2          4          2          22            3            11             6             In-process    Yes
Van           Sienna          2023  4TYPPA1C6NW112269  3           0           0           0           6          2          2          3          6          1          3          3          5          0          2          2          20            3             7             8             In-process    Yes
Car           Prius           2023  8TCUUE6U9N5104789  2           0           1           0           4          1          2          2          5          0          1          3          3          0          2          0          14            1             6             5             Completed     Yes
Van           Sienna          2023  4NMKKE6C7N7114092  3           0           0           0           7          0          5          1          6          1          4          2          5          0          1          3          21            1            10             6             In-process    Yes
Car           Camry           2023  5NBJJD6K2N1120739  2           0           1           0           5          0          2          2          6          0          1          2          3          0          0          2          16            0             4             6             In-process     No
Truck         Tundra Double   2023  8TPGGB816NK108709  3           0           0           2           7          2          4          4         11          0          5          5          7          2          4          4          28            4            13            15             Completed     Yes
SUV           Highlander      2023  3NMLLC0A6N4128434  1           1           0           1           5          0          3          1          9          0          3          5          7          0          4          2          22            1            10             9             Completed     Yes
Truck         Tacoma Access   2023  1TLMME7N6N6104050  3           0           0           2          10          0          5          2         11          0          5          5          9          2          5          1          33            2            15            10             In-process    Yes
Truck         Tundra Crewmax  2023  6NLSSA318N4110454  3           0           1           1           7          2          4          4         10          1          3          7          8          2          3          4          28            5            11            16             In-process    Yes
Truck         Tundra Crewmax  2023  5NBEEB812NW116369  3           0           0           2          11          1          3          2         11          0          8          2          7          2          4          4          32            3            15            10             In-process    Yes
Truck         Tacoma Double   2023  4TSNNA1N5N4101786  3           0           1           1          11          1          3          2          9          3          3          6          9          0          4          4          32            4            11            13             In-process    Yes
Car           Prius           2023  STBBBC1U9N6103662  2           0           1           0           4          1          2          2          5          0          3          1          3          0          0          2          14            1             6             5             Completed     Yes
Car           Camry           2023  VTALLB0K7N6108160  3           0           0           0           6          1          1          1          4          2          1          2          1          2          0          2          14            5             2             5             In-process    Yes
SUV           Venza           2023  9NMLLD2V2NM116503  2           0           1           0           5          0          3          1          9          0          5          3          7          0          2          4          23            0            11             8             Completed      No
Van           Sienna          2023  MTYDDEFC4NS102774  1           1           0           1           5          2          4          2          7          0          4          2          5          0          1          3          18            3             9             8             Completed     Yes
Van           Sienna          2023  2NMYYC0C7NS128464  2           0           0           1           7          0          2          4          8          1          2          2          5          0          2          2          22            1             6             9             In-process    Yes
SUV           Highlander      2023  2TYHHE2A4NR113380  2           0           1           0           5          0          3          1          9          0          6          2         11          1          0          1          27            1            10             4             In-process    Yes
Car           Camry           2023  1TAYYCDK3NZ130298  2           0           0           1           5          0          2          2          5          0          2          2          3          0          1          1          15            0             5             6             Completed      No
Truck         Tacoma Access   2023  STPMMB2N2NS131153  2           1           2           0           8          1          5          3         11          0          5          5         13          0          2          2          34            2            14            10             In-process    Yes
Van           Sienna          2023  KNYKKA3C2N3108599  2           0           0           1           6          1          3          3          7          0          3          3          5          0          3          1          20            1             9             8             Completed     Yes
Truck         Tundra Crewmax  2023  2TLKKEF15NN109284  3           0           0           2           9          0          6          2         10          1          7          3          8          1          2          6          30            2            15            13             Completed     Yes
SUV           4Runner         2023  9TYGGB8R1N3129884  2           0           1           0           5          0          4          0          9          0          2          6          8          1          2          2          24            1             9             8             In-process    Yes
SUV           Highlander      2023  3TYVVCDA1NN126082  3           0           0           0           6          0          1          2          8          2          2          5          7          0          4          2          24            2             7             9             In-process    Yes
SUV           Sequoia         2023  1NYJJB2A5N5113079  2           0           0           1           5          0          2          2         10          1          4          2          7          1          3          2          24            2             9             7             In-process    Yes
Car           Supra           2023  MTBPPAFA9NA116032  2           0           0           1           5          0          3          1          5          0          2          2          2          1          2          0          14            1             7             4             Completed     Yes
SUV           Sequoia         2023  VTYMMB3A6NR122438  3           0           0           0           5          0          2          2          8          1          7          1          7          0          2          4          23            1            11             7             In-process    Yes
Van           Sienna          2023  VTMJJE6C3N5129191  2           0           0           1           6          1          3          3          6          1          5          1          4          1          2          2          18            3            10             7             Completed     Yes
Car           Prius           2023  MNANNEFU2N0128059  2           0           1           0           5          0          2          2          5          0          3          1          3          0          2          0          15            0             8             3             Completed      No
Truck         Tacoma Access   2023  4NKVVCFN9N1115317  3           0           1           1          10          1          5          1         10          1          8          2          8          2          3          4          31            4            17             8             In-process    Yes
